"gene"	"ark1B"	"ark2B"	"blrB"	"polB"	"revB"	"pcnB"
"Potri.001G000100"	0	0	0	0	"0"	"0"
"Potri.001G000200"	0	0	0	0	"0"	"0"
"Potri.001G000300"	0	0	0	0	"0"	"0"
"Potri.001G000400"	1	0	0	0	"0"	"0"
"Potri.001G000500"	0	0	0	0	"0"	"1"
"Potri.001G000600"	0	0	0	0	"0"	"1"
"Potri.001G000700"	1	0	0	0	"0"	"0"
"Potri.001G000800"	1	0	0	0	"0"	"0"
"Potri.001G000900"	1	0	1	1	"0"	"1"
"Potri.001G001000"	0	0	1	0	"0"	"1"
"Potri.001G001100"	1	0	0	0	"0"	"1"
"Potri.001G001200"	1	0	0	0	"0"	"0"
"Potri.001G001300"	1	1	0	0	"0"	"1"
"Potri.001G001400"	1	1	0	0	"0"	"1"
"Potri.001G001500"	1	0	0	0	"0"	"0"
"Potri.001G001600"	1	0	1	1	"0"	"0"
"Potri.001G001700"	1	0	1	1	"0"	"0"
"Potri.001G001800"	1	0	0	0	"0"	"0"
"Potri.001G001900"	1	0	0	0	"0"	"0"
"Potri.001G002000"	1	0	0	0	"0"	"0"
"Potri.001G002100"	1	0	0	0	"0"	"0"
"Potri.001G002200"	1	0	0	0	"0"	"0"
"Potri.001G002300"	1	0	0	0	"0"	"1"
"Potri.001G002400"	1	0	0	0	"0"	"1"
"Potri.001G002500"	1	0	0	0	"0"	"1"
"Potri.001G002600"	1	0	0	0	"0"	"0"
"Potri.001G002700"	1	0	0	0	"0"	"0"
"Potri.001G002800"	0	0	0	0	"0"	"0"
"Potri.001G002900"	0	0	0	0	"0"	"1"
"Potri.001G003000"	0	0	0	0	"0"	"1"
"Potri.001G003100"	0	0	0	0	"0"	"0"
"Potri.001G003200"	1	0	0	0	"0"	"0"
"Potri.001G003300"	0	0	0	0	"0"	"0"
"Potri.001G003400"	1	0	0	0	"0"	"0"
"Potri.001G003500"	1	0	0	0	"0"	"0"
"Potri.001G003600"	1	0	0	0	"0"	"1"
"Potri.001G003700"	1	0	0	0	"0"	"1"
"Potri.001G003800"	0	0	0	0	"0"	"0"
"Potri.001G003900"	1	0	1	1	"0"	"0"
"Potri.001G004000"	1	0	1	0	"0"	"0"
"Potri.001G004100"	1	0	0	0	"0"	"0"
"Potri.001G004200"	1	1	0	0	"0"	"0"
"Potri.001G004300"	1	1	0	0	"0"	"0"
"Potri.001G004400"	0	0	0	0	"0"	"0"
"Potri.001G004500"	0	0	0	0	"0"	"0"
"Potri.001G004600"	0	0	0	0	"0"	"0"
"Potri.001G004700"	0	0	0	0	"0"	"0"
"Potri.001G004800"	1	0	0	0	"0"	"0"
"Potri.001G004900"	0	0	0	0	"0"	"0"
"Potri.001G005000"	1	0	1	1	"0"	"0"
"Potri.001G005100"	0	0	0	0	"0"	"0"
"Potri.001G005200"	0	0	0	0	"0"	"0"
"Potri.001G005300"	0	0	0	0	"0"	"0"
"Potri.001G005400"	0	0	1	0	"0"	"0"
"Potri.001G005500"	1	0	0	0	"0"	"0"
"Potri.001G005600"	0	0	1	1	"0"	"0"
"Potri.001G005700"	0	0	0	0	"0"	"0"
"Potri.001G005800"	0	0	0	0	"0"	"0"
"Potri.001G005900"	1	0	0	0	"0"	"0"
"Potri.001G006000"	0	0	0	0	"0"	"0"
"Potri.001G006100"	0	0	0	0	"0"	"0"
"Potri.001G006200"	0	0	0	0	"0"	"0"
"Potri.001G006300"	0	0	1	1	"0"	"0"
"Potri.001G006400"	1	0	0	0	"0"	"0"
"Potri.001G006500"	1	0	0	0	"0"	"1"
"Potri.001G006600"	0	0	0	0	"0"	"0"
"Potri.001G006700"	0	0	0	0	"0"	"1"
"Potri.001G006800"	0	0	0	0	"0"	"0"
"Potri.001G006900"	0	0	0	0	"0"	"0"
"Potri.001G007000"	0	0	0	0	"0"	"0"
"Potri.001G007100"	0	0	0	0	"0"	"0"
"Potri.001G007200"	0	0	0	0	"0"	"1"
"Potri.001G007300"	1	0	0	0	"0"	"0"
"Potri.001G007400"	0	0	0	0	"0"	"1"
"Potri.001G007500"	1	0	0	0	"0"	"0"
"Potri.001G007600"	0	0	0	0	"0"	"0"
"Potri.001G007700"	0	0	1	0	"0"	"1"
"Potri.001G007800"	1	0	1	0	"0"	"1"
"Potri.001G007900"	1	0	0	0	"0"	"0"
"Potri.001G008000"	0	0	0	0	"0"	"0"
"Potri.001G008100"	0	0	0	0	"0"	"0"
"Potri.001G008200"	0	0	0	0	"0"	"0"
"Potri.001G008300"	1	0	1	1	"0"	"0"
"Potri.001G008400"	1	0	1	0	"0"	"0"
"Potri.001G008500"	0	0	0	0	"0"	"0"
"Potri.001G008600"	0	0	0	0	"0"	"0"
"Potri.001G008700"	1	0	0	0	"0"	"0"
"Potri.001G008800"	1	1	0	0	"0"	"0"
"Potri.001G008900"	0	0	0	0	"0"	"0"
"Potri.001G009000"	0	0	0	0	"0"	"1"
"Potri.001G009100"	1	0	0	0	"0"	"0"
"Potri.001G009200"	0	0	0	0	"0"	"0"
"Potri.001G009300"	0	0	0	0	"0"	"0"
"Potri.001G009400"	1	0	0	0	"0"	"1"
"Potri.001G009500"	1	0	0	0	"0"	"1"
"Potri.001G009600"	0	0	0	0	"0"	"1"
"Potri.001G009700"	1	0	0	0	"0"	"0"
"Potri.001G009800"	1	0	0	0	"0"	"0"
"Potri.001G009900"	1	0	0	0	"0"	"0"
"Potri.001G010000"	0	0	0	0	"0"	"0"
"Potri.001G010100"	0	0	0	0	"0"	"0"
"Potri.001G010200"	0	0	0	0	"0"	"0"
"Potri.001G010300"	0	0	0	0	"0"	"0"
"Potri.001G010400"	1	0	0	0	"0"	"0"
"Potri.001G010500"	1	0	0	0	"0"	"0"
"Potri.001G010600"	0	0	0	0	"0"	"0"
"Potri.001G010700"	0	0	0	0	"0"	"0"
"Potri.001G010800"	1	0	0	0	"0"	"0"
"Potri.001G010900"	0	0	0	0	"0"	"0"
"Potri.001G011000"	0	0	0	0	"0"	"0"
"Potri.001G011100"	0	0	0	0	"0"	"0"
"Potri.001G011200"	0	0	1	0	"1"	"0"
"Potri.001G011300"	0	0	0	0	"0"	"0"
"Potri.001G011400"	0	0	0	0	"0"	"0"
"Potri.001G011500"	0	0	0	0	"0"	"0"
"Potri.001G011600"	0	0	1	0	"0"	"0"
"Potri.001G011700"	0	0	1	0	"0"	"1"
"Potri.001G011800"	1	0	0	0	"0"	"0"
"Potri.001G011900"	0	0	1	1	"0"	"1"
"Potri.001G012000"	1	1	0	0	"0"	"0"
"Potri.001G012100"	0	0	0	0	"0"	"0"
"Potri.001G012200"	0	0	0	0	"0"	"0"
"Potri.001G012300"	0	0	0	0	"0"	"0"
"Potri.001G012400"	0	0	0	0	"0"	"0"
"Potri.001G012500"	0	0	0	0	"0"	"0"
"Potri.001G012600"	0	0	0	0	"0"	"0"
"Potri.001G012700"	0	0	0	0	"0"	"0"
"Potri.001G012800"	1	0	0	0	"0"	"0"
"Potri.001G012900"	0	0	0	0	"0"	"0"
"Potri.001G013000"	0	0	1	1	"0"	"0"
"Potri.001G013100"	0	0	0	0	"0"	"0"
"Potri.001G013200"	1	0	0	0	"0"	"0"
"Potri.001G013300"	1	0	0	0	"0"	"0"
"Potri.001G013400"	0	0	0	0	"0"	"0"
"Potri.001G013500"	1	0	1	1	"0"	"0"
"Potri.001G013600"	1	0	0	0	"0"	"0"
"Potri.001G013700"	1	0	0	0	"0"	"0"
"Potri.001G013800"	1	1	0	0	"0"	"0"
"Potri.001G013900"	1	1	0	0	"0"	"0"
"Potri.001G014000"	1	1	0	0	"0"	"0"
"Potri.001G014100"	0	0	0	0	"0"	"0"
"Potri.001G014200"	0	0	0	0	"0"	"0"
"Potri.001G014300"	0	0	0	0	"0"	"0"
"Potri.001G014400"	0	0	0	0	"0"	"0"
"Potri.001G014500"	0	0	0	0	"0"	"0"
"Potri.001G014600"	0	0	0	0	"0"	"0"
"Potri.001G014700"	0	0	0	0	"0"	"1"
"Potri.001G014800"	0	0	0	0	"0"	"0"
"Potri.001G014900"	1	0	0	0	"0"	"0"
"Potri.001G015000"	1	0	0	0	"0"	"0"
"Potri.001G015100"	0	0	0	0	"0"	"0"
"Potri.001G015200"	0	0	0	0	"0"	"0"
"Potri.001G015300"	0	0	0	0	"0"	"0"
"Potri.001G015400"	0	0	1	1	"0"	"0"
"Potri.001G015500"	0	0	0	0	"0"	"0"
"Potri.001G015600"	0	0	0	0	"0"	"0"
"Potri.001G015700"	0	0	0	0	"0"	"0"
"Potri.001G015800"	0	0	0	0	"0"	"0"
"Potri.001G015900"	1	0	0	0	"0"	"0"
"Potri.001G016000"	0	0	0	0	"0"	"0"
"Potri.001G016100"	0	0	0	0	"0"	"0"
"Potri.001G016200"	1	0	0	0	"0"	"0"
"Potri.001G016300"	0	0	0	0	"0"	"0"
"Potri.001G016400"	0	0	0	0	"0"	"0"
"Potri.001G016500"	0	0	0	0	"0"	"0"
"Potri.001G016600"	0	0	0	0	"0"	"0"
"Potri.001G016700"	0	0	0	0	"0"	"0"
"Potri.001G016800"	0	0	0	0	"0"	"0"
"Potri.001G016900"	0	0	0	0	"0"	"0"
"Potri.001G017000"	0	0	0	0	"0"	"0"
"Potri.001G017100"	0	0	0	0	"0"	"0"
"Potri.001G017200"	0	0	0	0	"0"	"0"
"Potri.001G017300"	0	0	0	0	"0"	"0"
"Potri.001G017400"	0	0	0	0	"0"	"0"
"Potri.001G017500"	1	0	0	0	"0"	"1"
"Potri.001G017600"	0	0	0	0	"0"	"0"
"Potri.001G017700"	0	0	0	0	"0"	"0"
"Potri.001G017800"	0	0	0	0	"0"	"0"
"Potri.001G017900"	0	0	0	0	"0"	"0"
"Potri.001G018000"	0	0	0	0	"0"	"0"
"Potri.001G018100"	1	0	0	0	"0"	"1"
"Potri.001G018200"	1	0	0	0	"0"	"1"
"Potri.001G018300"	0	0	0	0	"0"	"0"
"Potri.001G018400"	0	0	0	0	"0"	"0"
"Potri.001G018500"	1	0	0	0	"0"	"0"
"Potri.001G018600"	1	0	0	0	"0"	"0"
"Potri.001G018700"	0	0	0	0	"0"	"0"
"Potri.001G018800"	1	0	0	0	"0"	"0"
"Potri.001G018900"	0	0	0	0	"0"	"1"
"Potri.001G019000"	1	0	0	0	"0"	"0"
"Potri.001G019100"	0	0	0	0	"0"	"0"
"Potri.001G019200"	1	0	0	0	"0"	"0"
"Potri.001G019300"	0	0	0	0	"0"	"0"
"Potri.001G019400"	0	0	1	1	"0"	"0"
"Potri.001G019500"	0	0	1	1	"0"	"0"
"Potri.001G019600"	0	0	0	0	"0"	"0"
"Potri.001G019700"	0	0	0	0	"0"	"0"
"Potri.001G019800"	0	0	0	0	"0"	"0"
"Potri.001G019900"	0	0	0	0	"0"	"0"
"Potri.001G020000"	0	0	0	0	"0"	"0"
"Potri.001G020100"	0	0	0	0	"0"	"1"
"Potri.001G020200"	0	0	1	0	"0"	"0"
"Potri.001G020300"	0	0	0	0	"0"	"1"
