BioSample_s	Library_Name_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	genotype_s	sample_ID_s	tissue_s	treatment_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LoadDate_s	Organism_s	Platform_s	SRA_Study_s	age_s	biomaterial_provider_s	cultivar_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	sample_type_s	source_s
SAMN02769379	WT-L-WW1	1332	970	12-May-15	SRR1293423	SRS616250	WT-L-WW1	wild type	L58	leaf LPI-15	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769380	WT-L-WW2	1191	865	12-May-15	SRR1293424	SRS616251	WT-L-WW2	wild type	L71	leaf LPI-15	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769381	WT-L-WW3	1253	915	12-May-15	SRR1293425	SRS616252	WT-L-WW3	wild type	L73	leaf LPI-15	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769382	WT-L-DR1	1028	746	12-May-15	SRR1293426	SRS616253	WT-L-DR1	wild type	L61	leaf LPI-15	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769383	WT-L-DR2	1163	844	12-May-15	SRR1293427	SRS616254	WT-L-DR2	wild type	L72	leaf LPI-15	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769384	WT-L-DR3	981	713	12-May-15	SRR1293428	SRS616255	WT-L-DR3	wild type	L75	leaf LPI-15	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769385	WT-L-RC1	1020	742	12-May-15	SRR1293429	SRS616256	WT-L-RC1	wild type	L65	leaf LPI-15	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769386	WT-L-RC2	1034	752	12-May-15	SRR1293430	SRS616257	WT-L-RC2	wild type	L66	leaf LPI-15	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769387	WT-L-RC3	1126	818	12-May-15	SRR1293431	SRS616258	WT-L-RC3	wild type	L67	leaf LPI-15	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769388	SUT4-L-WW1	1094	797	12-May-15	SRR1293432	SRS616259	SUT4-L-WW1	SUT4-RNAi transgenic	L86	leaf LPI-15	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769389	SUT4-L-WW2	1125	817	12-May-15	SRR1293433	SRS616260	SUT4-L-WW2	SUT4-RNAi transgenic	L87	leaf LPI-15	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769390	SUT4-L-WW3	1223	889	12-May-15	SRR1293434	SRS616261	SUT4-L-WW3	SUT4-RNAi transgenic	L88	leaf LPI-15	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769391	SUT4-L-DR1	1478	954	22-Jul-15	SRR1293435	SRS616262	SUT4-L-DR1	SUT4-RNAi transgenic	L46	leaf LPI-15	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769392	SUT4-L-DR2	1411	906	22-Jul-15	SRR1293436	SRS616263	SUT4-L-DR2	SUT4-RNAi transgenic	L47	leaf LPI-15	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769393	SUT4-L-DR3	1447	927	22-Jul-15	SRR1293437	SRS616264	SUT4-L-DR3	SUT4-RNAi transgenic	L56	leaf LPI-15	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769394	SUT4-L-RC1	1314	953	12-May-15	SRR1293438	SRS616265	SUT4-L-RC1	SUT4-RNAi transgenic	L76	leaf LPI-15	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769395	SUT4-L-RC2	1169	847	12-May-15	SRR1293439	SRS616266	SUT4-L-RC2	SUT4-RNAi transgenic	L80	leaf LPI-15	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769396	SUT4-L-RC3	1457	1058	12-May-15	SRR1293440	SRS616267	SUT4-L-RC3	SUT4-RNAi transgenic	L85	leaf LPI-15	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769397	WT-B-WW1	1082	805	12-May-15	SRR1293441	SRS616268	WT-B-WW1	wild type	P58	bark	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769398	WT-B-WW2	1054	784	12-May-15	SRR1293442	SRS616269	WT-B-WW2	wild type	P71	bark	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769399	WT-B-WW3	1088	808	12-May-15	SRR1293443	SRS616270	WT-B-WW3	wild type	P73	bark	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769400	WT-B-DR1	945	704	12-May-15	SRR1293444	SRS616271	WT-B-DR1	wild type	P61	bark	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769401	WT-B-DR2	1056	784	12-May-15	SRR1293445	SRS616272	WT-B-DR2	wild type	P72	bark	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769402	WT-B-DR3	1108	823	12-May-15	SRR1293446	SRS616273	WT-B-DR3	wild type	P75	bark	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769403	WT-B-RC1	1199	881	12-May-15	SRR1293447	SRS616274	WT-B-RC1	wild type	P65	bark	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769404	WT-B-RC2	1004	746	12-May-15	SRR1293448	SRS616275	WT-B-RC2	wild type	P66	bark	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769405	WT-B-RC3	951	703	12-May-15	SRR1293449	SRS616276	WT-B-RC3	wild type	P67	bark	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769406	SUT4-B-WW1	1159	854	12-May-15	SRR1293450	SRS616277	SUT4-B-WW1	SUT4-RNAi transgenic	P86	bark	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769407	SUT4-B-WW2	1266	933	12-May-15	SRR1293451	SRS616278	SUT4-B-WW2	SUT4-RNAi transgenic	P87	bark	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769408	SUT4-B-WW3	1236	907	12-May-15	SRR1293452	SRS616279	SUT4-B-WW3	SUT4-RNAi transgenic	P88	bark	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769409	SUT4-B-DR1	1359	872	22-Jul-15	SRR1293453	SRS616280	SUT4-B-DR1	SUT4-RNAi transgenic	P46	bark	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769410	SUT4-B-DR2	1447	925	22-Jul-15	SRR1293454	SRS616281	SUT4-B-DR2	SUT4-RNAi transgenic	P47	bark	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769411	SUT4-B-DR3	1373	878	22-Jul-15	SRR1293455	SRS616282	SUT4-B-DR3	SUT4-RNAi transgenic	P56	bark	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769412	SUT4-B-RC1	943	698	12-May-15	SRR1293456	SRS616283	SUT4-B-RC1	SUT4-RNAi transgenic	P76	bark	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769413	SUT4-B-RC2	1183	871	12-May-15	SRR1293457	SRS616284	SUT4-B-RC2	SUT4-RNAi transgenic	P80	bark	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769414	SUT4-B-RC3	1587	1094	12-May-15	SRR1293458	SRS616285	SUT4-B-RC3	SUT4-RNAi transgenic	P85	bark	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769415	WT-X-WW1	983	714	12-May-15	SRR1293459	SRS616286	WT-X-WW1	wild type	X58	xylem	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769416	WT-X-WW2	973	703	12-May-15	SRR1293460	SRS616287	WT-X-WW2	wild type	X71	xylem	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769417	WT-X-WW3	1065	770	12-May-15	SRR1293461	SRS616288	WT-X-WW3	wild type	X73	xylem	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769418	WT-X-DR1	1016	734	12-May-15	SRR1293462	SRS616289	WT-X-DR1	wild type	X61	xylem	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769419	WT-X-DR2	1136	822	12-May-15	SRR1293463	SRS616290	WT-X-DR2	wild type	X72	xylem	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769420	WT-X-DR3	1105	800	12-May-15	SRR1293464	SRS616291	WT-X-DR3	wild type	X75	xylem	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769421	WT-X-RC1	1154	834	12-May-15	SRR1293465	SRS616292	WT-X-RC1	wild type	X65	xylem	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
