Individual  Code	Longitude	Latitude	year	genotype
DENA	PT0002	-126.62	52.77	0	DENA17-1
BELA	PT0003	-126.17	52.42	0	BELA18-2
CNYH	PT0004	-125.07	49.82	0	CNYH28-4
VNDL	PT0005	-122.1	49.15	0	VNDL27-4
MCGR	PT0006	-122	54.18	0	MCGR15-6
HIXN	PT0007	-122.63	53.4	0	HIXN16-5
JASP	PT0008	-122.92	44	0	JASP30-1
LONG	PT0009	-123.92	46.08	0	LONG29-2
GLCA	PT0010	-122.45	49.87	0	GLCA26-1
ELAD	PT0011	-123.58	50.25	0	ELAD25-3
MCHB	PT0012	-126.58	51.62	0	MCHB19-3
TOBA	PT0013	-124.23	50.52	0	TOBA23-2
ALSC	PT0014	-137.92	59.62	1	ALSC1-4
TAKA	PT0015	-133.57	58.6	1	TAKA3-3
DESC	PT0016	-129.02	59.32	1	DESC2-4
STKI	PT0017	-128.8	57.93	1	STKI4-2
TATA	PT0018	-138.03	59.45	1	TATA1-5
TNZA	PT0019	-130.47	58.3	1	TNZA4-1
TATB	PT0020	-137.83	59.43	1	TATB1-4
STKG	PT0021	-129.67	57.95	1	STKG4-4
