gene_1,gene_2,a1,a2,a3,a4,a5,a6
Potri.T149900.1,Potri.010G240000,1,0,0.91741,1,popSegDup_0,0.04481
Potri.008G019400,Potri.010G239900,1,0,0.874,1,popSegDup_0,0.09329
Potri.008G019700,Potri.010G239700,1,0,0.77874,1,popSegDup_0,0.07155
Potri.008G020100,Potri.010G239100,1,0,0.93396,1,popSegDup_0,0.08718
Potri.008G020200,Potri.010G239000,1,0,0.90423,1,popSegDup_0,0.03949
Potri.008G020300,Potri.010G238900,1,0,0.61432,1,popSegDup_0,0.13597
Potri.008G020400,Potri.010G238800,1,0,0.91126,1,popSegDup_0,0.05004
Potri.008G020600,Potri.010G238400,1,0,0.80805,1,popSegDup_0,0.06342
Potri.008G020700,Potri.010G238300,1,0,0.82026,1,popSegDup_0,0.08718
Potri.008G020800,Potri.010G238100,1,0,0.60321,1,popSegDup_0,0.33723
Potri.008G021100,Potri.010G237900,1,0,0.92767,1,popSegDup_0,0.05004
Potri.008G021400,Potri.010G237800,1,0,0.75376,1,popSegDup_0,0.18386
Potri.008G021900,Potri.010G237500,1,0,0.67632,1,popSegDup_0,0.05832
Potri.008G022000,Potri.010G237400,1,0,0.85616,1,popSegDup_0,0.11819
Potri.008G022300,Potri.010G237100,1,0,0.83315,1,popSegDup_0,0.09373
Potri.T160100.1,Potri.010G236900,1,0,0.82648,1,popSegDup_0,0.22599
Potri.008G023800,Potri.010G236500,1,0,0.77647,1,popSegDup_0,0
Potri.008G024000,Potri.010G236200,1,0,0.82105,1,popSegDup_0,0.11157
Potri.008G024100,Potri.010G236100,1,0,0.86648,1,popSegDup_0,0.04882
Potri.008G024300,Potri.010G235900,1,0,0.7943,1,popSegDup_0,0.16824
Potri.008G024500,Potri.010G235700,1,0,0.70181,1,popSegDup_0,0.04575
Potri.008G025300,Potri.010G235200,1,0,0.82218,1,popSegDup_0,0.08718
Potri.008G025600,Potri.010G235000,1,0,0.74151,1,popSegDup_0,0.15269
Potri.008G025800,Potri.010G234700,1,0,0.69037,1,popSegDup_0,0.08718
Potri.008G026100,Potri.010G234300,1,0,0.79442,1,popSegDup_0,0.10565
Potri.008G026400,Potri.010G234100,1,0,0.95636,1,popSegDup_0,0.09116
Potri.008G026800,Potri.010G233700,1,0,0.86545,1,popSegDup_0,0.07654
Potri.008G026900,Potri.010G233600,1,0,0.73964,1,popSegDup_0,0.08962
Potri.008G027000,Potri.010G233500,1,0,0.7621,1,popSegDup_0,0.12891
Potri.008G027100,Potri.010G233200,1,0,0.9351,1,popSegDup_0,0.09708
Potri.008G028800,Potri.010G232800,1,0,0.82483,1,popSegDup_0,0.12689
Potri.008G028900,Potri.010G232700,1,0,0.65133,1,popSegDup_0,0.0761
Potri.008G029100,Potri.010G232500,1,0,0.76765,1,popSegDup_0,0.08548
Potri.008G029200,Potri.010G232400,1,0,0.88317,1,popSegDup_0,0.04955
Potri.008G029300,Potri.010G232200,1,0,0.78837,1,popSegDup_0,0.05889
Potri.008G029400,Potri.010G232000,1,0,0.65892,1,popSegDup_0,0.07485
Potri.008G029600,Potri.010G231600,1,0,0.7521,1,popSegDup_0,*
Potri.008G029700,Potri.010G231500,1,0,0.84065,1,popSegDup_0,0.11157
Potri.008G030100,Potri.010G231100,1,0,0.85657,1,popSegDup_0,0.0944
Potri.008G030200,Potri.010G231000,1,0,0.71074,1,popSegDup_0,0.03705
Potri.008G030700,Potri.010G230500,1,0,0.78292,1,popSegDup_0,0.13496
Potri.008G031200,Potri.010G230300,1,0,0.86997,1,popSegDup_0,0.07312
Potri.008G031500,Potri.010G230200,1,0,0.84868,1,popSegDup_0,0.14576
Potri.008G031800,Potri.010G229900,1,0,0.80723,1,popSegDup_0,0.08166
Potri.008G032000,Potri.010G229600,1,0,0.8914,1,popSegDup_0,0.15005
Potri.008G032500,Potri.010G229200,1,0,0.72779,1,popSegDup_0,0.02084
Potri.008G032700,Potri.010G229000,1,0,0.67049,1,popSegDup_0,0.09708
Potri.008G033000,Potri.010G228700,1,0,0.80306,1,popSegDup_0,0.08471
Potri.008G033200,Potri.010G228500,1,0,0.87911,1,popSegDup_0,0.15683
Potri.008G034600,Potri.010G227800,1,0,0.85965,1,popSegDup_0,*
Potri.008G034800,Potri.010G227700,1,0,0.89981,1,popSegDup_0,0.06162
Potri.008G035000,Potri.010G227400,1,0,0.6929,1,popSegDup_0,0
Potri.008G035200,Potri.010G227200,1,0,0.71357,1,popSegDup_0,0.10989
Potri.008G035300,Potri.010G227100,1,0,0.84826,1,popSegDup_0,0.10156
Potri.008G035600,Potri.010G226600,1,0,0.89283,1,popSegDup_0,0.06022
Potri.008G035700,Potri.010G226500,1,0,0.87277,1,popSegDup_0,0.11977
Potri.008G035800,Potri.010G226300,1,0,0.981,1,popSegDup_0,0.13191
Potri.008G036000,Potri.010G226200,1,0,0.74429,1,popSegDup_0,*
Potri.008G036300,Potri.010G226000,1,0,0.82115,1,popSegDup_0,0.11479
Potri.008G036500,Potri.010G225600,1,0,0.73883,1,popSegDup_0,0.04906
Potri.008G036700,Potri.010G225400,1,0,0.70027,1,popSegDup_0,0.0328
Potri.008G036800,Potri.010G225300,1,0,0.78094,1,popSegDup_0,0.15793
Potri.008G037100,Potri.010G225100,1,0,0.92344,1,popSegDup_0,0.04034
Potri.008G037200,NaN,1,0,0.71549,1,popSegDup_0,0.03848
NaN,Potri.010G224900,1,0,0.74719,1,popSegDup_0,0.10756
Potri.008G037600,Potri.010G224800,1,0,0.63821,1,popSegDup_0,0.51481
Potri.008G037900,Potri.010G224500,1,0,0.63004,1,popSegDup_0,*
Potri.008G038000,Potri.010G224400,1,0,0.68935,1,popSegDup_0,0.14384
Potri.008G038100,Potri.010G224300,1,0,0.95512,1,popSegDup_0,0.05613
Potri.008G038200,Potri.010G224100,1,0,0.94399,1,popSegDup_0,0.10701
Potri.008G038300,Potri.010G223900,1,0,0.89483,1,popSegDup_0,0.10486
Potri.008G038600,Potri.010G223600,1,0,0.79421,1,popSegDup_0,0.1172
Potri.008G038700,Potri.010G223500,1,0,0.92754,1,popSegDup_0,0.06114
Potri.008G038800,Potri.010G223400,1,0,0.86632,1,popSegDup_0,0.06089
Potri.008G038900,Potri.010G223300,1,0,0.82201,1,popSegDup_0,0.15602
Potri.008G039000,Potri.010G223200,1,0,0.89076,1,popSegDup_0,0.07794
Potri.008G039100,Potri.010G223100,1,0,0.98,1,popSegDup_0,*
Potri.008G039200,Potri.010G223000,1,0,0.86167,1,popSegDup_0,0.11157
Potri.008G039300,Potri.010G222900,1,0,0.67246,1,popSegDup_0,0.0686
Potri.008G039500,Potri.010G222800,1,0,0.89035,1,popSegDup_0,0.09891
Potri.008G039600,Potri.010G222700,1,0,0.91222,1,popSegDup_0,0.13951
Potri.008G040000,Potri.010G222300,1,0,0.85169,1,popSegDup_0,0.15683
Potri.008G040300,Potri.010G222000,1,0,0.90991,1,popSegDup_0,0.08353
Potri.008G040500,Potri.010G221700,1,0,0.92776,1,popSegDup_0,0.10438
Potri.008G040700,Potri.010G221600,1,0,0.92959,1,popSegDup_0,0.07817
Potri.008G041000,Potri.010G221100,1,0,0.90239,1,popSegDup_0,0.04766
Potri.008G041100,Potri.010G220900,1,0,0.9,1,popSegDup_0,0.16361
Potri.008G041300,Potri.010G220600,1,0,0.92443,1,popSegDup_0,0.08353
Potri.008G041400,Potri.010G220500,1,0,0.83721,1,popSegDup_0,0.11681
Potri.008G041600,Potri.010G220300,1,0,0.91394,1,popSegDup_0,0.05068
Potri.008G041700,Potri.010G220200,1,0,0.87882,1,popSegDup_0,0.06733
Potri.008G041900,Potri.010G220000,1,0,0.73926,1,popSegDup_0,0.07994
